OrderID,CustomerID,CustomerName,Age,City,Email,Department,OrderDate,ProductCategory,PaymentMode,OrderStatus,UnitPrice,Quantity,DiscountPct,Revenue,Rating,IsReturningCustomer,is_price_outlier,OrderMonth,OrderYear,CityTier,AgeGroup
ORD510665,CUST110665,Ananya Iyer,60.0,Kolkata,ananya.iyer@gmail.com,Not Applicable,2025-02-05,Electronics,UPI,Pending,152.91,3.0,15,389.92,1.0,False,False,2,2025,Tier 1,56+
ORD513381,CUST113381,Pooja Gupta,39.0,Bangalore,,Not Applicable,2023-03-11,Groceries,COD,Pending,115.33,3.0,0,345.99,3.0,False,False,3,2023,Tier 1,36-45
ORD501844,CUST101844,Sourav Trivedi,31.0,Gurgaon,sourav.trivedi@gmail.com,Finance,2025-05-20,Apparel,COD,Cancelled,2109.53,1.0,5,2004.05,4.0,False,False,5,2025,Tier 2,26-35
ORD501144,CUST101144,Anjali Pillai,55.0,Noida,anjali.pillai@yahoo.com,HR,2025-07-11,Electronics,COD,Cancelled,357.1,1.0,5,339.24,2.0,False,False,7,2025,Tier 2,46-55
ORD516008,CUST116008,Deepak Roy,33.0,Bangalore,deepak.roy@gmail.com,Support,2022-06-28,Books,UPI,Returned,773.26,3.0,0,2319.78,5.0,True,False,6,2022,Tier 1,26-35
ORD519921,CUST119921,Rahul Bhatt,51.0,Gurgaon,rahul.bhatt@yahoo.com,Not Applicable,2022-09-11,Electronics,Net Banking,Pending,824.89,4.0,10,2969.6,2.0,False,False,9,2022,Tier 2,46-55
ORD518551,CUST118551,Harsh Sen,45.0,Gurgaon,harsh.sen@gmail.com,Not Applicable,2024-01-31,Beauty,UPI,Cancelled,2436.77,1.0,10,2193.09,4.0,False,False,1,2024,Tier 2,36-45
ORD516958,CUST116958,Aarav Kulkarni,48.0,Kolkata,aarav.kulkarni@gmail.com,Not Applicable,2023-09-01,Home & Kitchen,Net Banking,Completed,372.55,3.0,15,950.0,4.0,True,False,9,2023,Tier 1,46-55
ORD519614,CUST119614,Shreya Bhatt,57.0,Pune,shreya.bhatt@yahoo.com,Engineering,2024-05-18,Beauty,Debit Card,Pending,552.87,1.0,0,552.87,5.0,True,False,5,2024,Tier 1,56+
ORD509981,CUST109981,Nikhil Rao,18.0,Bangalore,nikhil.rao@gmail.com,Not Applicable,2024-07-16,Furniture,Credit Card,Cancelled,3395.38,3.0,0,10186.14,4.0,True,False,7,2024,Tier 1,18-25
ORD501637,CUST101637,Sourav Iyer,49.0,Bangalore,sourav.iyer@gmail.com,Marketing,2024-04-18,Electronics,Net Banking,Returned,2852.4,5.0,15,12122.7,2.0,True,False,4,2024,Tier 1,46-55
ORD517298,CUST117298,Simran Saxena,37.0,Hyderabad,simran.saxena@gmail.com,Not Applicable,2022-05-24,Books,Net Banking,Cancelled,423.1,5.0,15,1798.18,5.0,True,False,5,2022,Tier 1,36-45
ORD509538,CUST109538,Deepak Mukherjee,33.0,Mumbai,deepak.mukherjee@yahoo.com,Support,2025-06-04,Groceries,COD,Completed,301.66,2.0,0,603.32,4.0,False,False,6,2025,Tier 1,26-35
ORD516389,CUST116389,Sanjay Banerjee,18.0,Kolkata,sanjay.banerjee@gmail.com,Marketing,2024-07-21,Toys,Debit Card,Returned,2798.49,2.0,0,5596.98,4.0,False,False,7,2024,Tier 1,18-25
ORD504626,CUST104626,Amit Singh,31.0,Kolkata,amit.singh@yahoo.com,Not Applicable,2025-03-28,Toys,COD,Completed,4648.45,3.0,0,13945.35,5.0,False,False,3,2025,Tier 1,26-35
ORD504536,CUST104536,Ananya Mukherjee,64.0,Delhi,ananya.mukherjee@yahoo.com,HR,2024-01-09,Home & Kitchen,Net Banking,In Progress,820.04,5.0,5,3895.19,5.0,True,False,1,2024,Tier 1,56+
ORD508733,CUST108733,Gaurav Mishra,46.0,Mumbai,gaurav.mishra@gmail.com,Engineering,2023-07-04,Toys,UPI,Returned,1326.59,5.0,0,6632.95,5.0,False,False,7,2023,Tier 1,46-55
ORD510265,CUST110265,Ishita Singh,49.0,Gurgaon,ishita.singh@gmail.com,Not Applicable,2024-07-02,Apparel,UPI,Cancelled,335.87,3.0,5,957.23,,False,False,7,2024,Tier 2,46-55
ORD510526,CUST110526,Sanjay Mukherjee,33.0,Delhi,sanjay.mukherjee@gmail.com,Not Applicable,2024-07-26,Beauty,UPI,Pending,630.81,2.0,0,1261.62,5.0,False,False,7,2024,Tier 1,26-35
ORD503456,CUST103456,Priya Trivedi,63.0,Noida,priya.trivedi@yahoo.com,Not Applicable,2022-10-22,Beauty,COD,Completed,936.3,3.0,0,2808.9,5.0,True,False,10,2022,Tier 2,56+
ORD505815,CUST105815,Anjali Reddy,60.0,Chennai,anjali.reddy@gmail.com,Marketing,2023-07-05,Home & Kitchen,UPI,Completed,2922.16,3.0,0,8766.48,4.0,True,False,7,2023,Tier 1,56+
ORD507637,CUST107637,Tanvi Sharma,41.0,Delhi,tanvi.sharma@yahoo.com,Not Applicable,2022-11-18,Home & Kitchen,Net Banking,Completed,3356.37,2.0,15,5705.83,5.0,True,False,11,2022,Tier 1,36-45
ORD515821,CUST115821,Sneha Kulkarni,49.0,Kolkata,sneha.kulkarni@gmail.com,Not Applicable,2022-09-14,Electronics,Net Banking,Pending,2114.95,5.0,20,8459.8,5.0,False,False,9,2022,Tier 1,46-55
ORD519699,CUST119699,Priya Chatterjee,62.0,Bangalore,priya.chatterjee@yahoo.com,Not Applicable,2024-11-15,Groceries,UPI,Cancelled,773.75,4.0,0,3095.0,5.0,False,False,11,2024,Tier 1,56+
ORD511840,CUST111840,Gaurav Mukherjee,45.0,Kolkata,gaurav.mukherjee@gmail.com,Not Applicable,2023-12-19,Home & Kitchen,Credit Card,Completed,6243.04,2.0,20,9988.86,3.0,False,True,12,2023,Tier 1,36-45
ORD513515,CUST113515,Karan Das,31.0,Chennai,karan.das@gmail.com,Not Applicable,2024-01-16,Apparel,UPI,In Progress,3926.5,3.0,20,9423.6,2.0,True,False,1,2024,Tier 1,26-35
ORD503433,CUST103433,Pooja Kulkarni,53.0,Chennai,pooja.kulkarni@yahoo.com,Not Applicable,2023-12-28,Apparel,COD,Returned,1433.03,2.0,0,2866.06,5.0,True,False,12,2023,Tier 1,46-55
ORD503797,CUST103797,Aditya Trivedi,56.0,Delhi,aditya.trivedi@yahoo.com,Not Applicable,2023-05-08,Groceries,COD,Cancelled,427.14,2.0,20,683.42,4.0,False,False,5,2023,Tier 1,56+
